customer_id,customer_name,segment,first_order_date,last_order_date,cohort_year,recency_days,lifetime_days,lifetime_years,orders_count,units_sold,aov,total_sales,total_profit,profit_margin_pct,avg_discount_pct,annualized_clv,r_score,f_score,m_score,rfm_code,rfm_segment,value_quadrant,clv_decile
AG-10270,Alejandro Grove,Consumer,2023-05-13,2026-09-20,2023,101,1226,3.36,9,78,302.27,2720.39,792.48,29.13,2.22,809.9,3,4,3,343,Loyal Customers,High Vol / High Profit,6
AG-10300,Aleksandra Gannaway,Corporate,2023-04-26,2026-09-03,2023,118,1226,3.36,4,16,91.89,367.55,59.29,16.13,8.0,109.42,2,1,1,211,Lost / Hibernating,Low Vol / Low Profit,10
AG-10330,Alex Grayson,Consumer,2025-08-03,2026-12-22,2025,8,506,1.39,5,47,132.19,660.97,-5.14,-0.78,23.33,476.79,5,2,1,521,New Customers,Low Vol / Low Profit,8
AG-10390,Allen Goldenen,Consumer,2023-04-19,2026-09-07,2023,114,1237,3.39,5,33,40.19,200.94,69.28,34.48,22.5,59.29,2,2,1,221,Lost / Hibernating,Low Vol / Low Profit,10
AG-10495,Andrew Gjertsen,Corporate,2024-01-04,2026-10-13,2024,78,1013,2.78,8,93,294.61,2356.86,295.67,12.54,20.48,849.21,3,4,3,343,Loyal Customers,High Vol / High Profit,5
AG-10525,Andy Gerbode,Corporate,2023-08-09,2024-09-07,2023,844,395,1.08,4,33,363.76,1455.04,-152.76,-10.5,15.56,1344.53,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,3
AG-10675,Anna Gayman,Consumer,2024-05-07,2026-09-24,2024,97,870,2.38,7,54,498.43,3489.04,-246.43,-7.06,16.13,1463.79,3,3,4,334,Need Attention,High Vol / Low Profit,3
AG-10765,Anthony Garverick,Home Office,2023-09-17,2026-10-14,2023,77,1123,3.08,4,20,42.65,170.58,-8.43,-4.94,46.0,55.44,3,1,1,311,Need Attention,Low Vol / Low Profit,10
AG-10900,Arthur Gainer,Consumer,2023-07-23,2026-09-25,2023,96,1160,3.18,10,92,451.08,4510.8,343.68,7.62,16.67,1419.35,3,5,5,355,Loyal Customers,High Vol / High Profit,3
AH-10030,Aaron Hawkins,Corporate,2023-04-22,2026-12-18,2023,12,1336,3.66,7,54,249.24,1744.7,365.22,20.93,9.09,476.66,5,3,3,533,Potential Loyalists,Low Vol / High Profit,8
AH-10075,Adam Hart,Corporate,2023-11-16,2026-11-26,2023,34,1106,3.03,10,75,325.03,3250.34,281.19,8.65,13.5,1072.67,4,5,4,454,Champions,High Vol / High Profit,4
AH-10120,Adrian Hane,Home Office,2023-07-18,2026-10-31,2023,60,1201,3.29,7,65,247.93,1735.51,-2.31,-0.13,23.75,527.45,3,3,2,332,Need Attention,Low Vol / Low Profit,7
AH-10195,Alan Haines,Corporate,2024-03-05,2026-11-05,2024,55,975,2.67,4,28,396.86,1587.45,-378.55,-23.85,35.0,594.28,3,1,2,312,Need Attention,Low Vol / Low Profit,7
AH-10210,Alan Hwang,Consumer,2023-11-29,2026-12-24,2023,6,1121,3.07,9,53,533.93,4805.34,1308.55,27.23,9.23,1564.63,5,4,5,545,Champions,High Vol / High Profit,3
AH-10465,Amy Hunt,Consumer,2024-01-03,2026-05-14,2024,230,862,2.36,5,35,499.08,2495.39,-196.12,-7.86,14.0,1056.63,1,2,3,123,Need Attention,High Vol / Low Profit,4
AH-10585,Angele Hood,Consumer,2023-10-26,2026-12-09,2023,21,1140,3.12,4,17,184.63,738.5,83.96,11.37,12.0,236.45,5,1,1,511,New Customers,Low Vol / Low Profit,9
AH-10690,Anna Häberlin,Corporate,2023-04-02,2025-11-15,2023,410,958,2.62,12,102,657.36,7888.29,1298.02,16.45,21.74,3005.46,1,5,5,155,Cant Lose Them,High Vol / High Profit,1
AI-10855,Arianne Irving,Consumer,2023-04-28,2026-12-17,2023,13,1329,3.64,10,72,437.58,4375.79,867.73,19.83,7.22,1201.78,5,5,5,555,Champions,High Vol / High Profit,4
AJ-10780,Anthony Jacobs,Corporate,2023-01-10,2026-10-16,2023,75,1375,3.77,7,62,695.33,4867.34,150.71,3.1,8.67,1292.06,3,3,5,335,Need Attention,High Vol / Low Profit,3
AJ-10795,Anthony Johnson,Corporate,2023-05-14,2026-07-17,2023,166,1160,3.18,7,88,643.06,4501.39,1158.71,25.74,8.33,1416.39,2,3,5,235,At Risk,High Vol / High Profit,3
AJ-10945,Ashley Jarboe,Consumer,2023-03-03,2026-10-06,2023,85,1313,3.6,7,40,262.75,1839.24,521.14,28.33,4.0,511.29,3,3,3,333,Need Attention,Low Vol / High Profit,7
AJ-10960,Astrea Jones,Consumer,2023-09-14,2026-10-17,2023,74,1129,3.09,3,22,209.75,629.25,60.43,9.6,4.0,203.43,3,1,1,311,Need Attention,Low Vol / Low Profit,10
AM-10360,Alice McCarthy,Corporate,2023-10-06,2026-12-02,2023,28,1153,3.16,5,48,162.8,814.01,194.99,23.95,12.5,257.69,4,2,1,421,New Customers,Low Vol / Low Profit,9
AM-10705,Anne McFarland,Consumer,2023-10-31,2026-07-21,2023,162,994,2.72,8,81,708.0,5664.02,1085.73,19.17,6.36,2079.85,2,4,5,245,Cant Lose Them,High Vol / High Profit,2
AO-10810,Anthony O'Donnell,Corporate,2025-08-16,2025-08-16,2025,501,0,0.0,1,2,161.28,161.28,12.1,7.5,20.0,161.28,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,10
AP-10720,Anne Pryor,Home Office,2023-03-03,2026-11-19,2023,41,1357,3.72,8,85,204.82,1638.55,285.79,17.44,16.32,440.73,4,4,2,442,Need Attention,Low Vol / High Profit,8
AP-10915,Arthur Prichep,Consumer,2023-08-23,2026-09-23,2023,98,1127,3.09,10,102,332.36,3323.56,579.31,17.43,9.35,1076.4,3,5,4,354,Loyal Customers,High Vol / High Profit,4
AR-10345,Alex Russell,Corporate,2023-09-10,2026-09-10,2023,111,1096,3.0,6,21,178.89,1073.35,-215.97,-20.12,18.57,357.46,2,3,2,232,Need Attention,Low Vol / Low Profit,8
AR-10405,Allen Rosenblatt,Corporate,2023-10-03,2026-08-27,2023,125,1059,2.9,5,29,447.23,2236.13,-98.76,-4.42,10.0,770.71,2,2,3,223,Need Attention,Low Vol / Low Profit,6
AR-10510,Andrew Roberts,Consumer,2023-05-02,2026-12-16,2023,14,1324,3.63,5,33,52.97,264.86,43.67,16.49,21.43,73.02,5,2,1,521,New Customers,Low Vol / Low Profit,10
AR-10540,Andy Reiter,Consumer,2023-11-25,2026-12-24,2023,6,1125,3.08,6,33,1101.41,6608.45,2884.62,43.65,6.67,2144.07,5,3,5,535,Potential Loyalists,High Vol / High Profit,2
AR-10570,Anemone Ratner,Consumer,2025-07-14,2025-07-14,2025,534,0,0.0,1,6,88.15,88.15,32.63,37.02,0.0,88.15,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,10
AR-10825,Anthony Rawles,Corporate,2023-06-30,2026-11-02,2023,58,1221,3.35,8,54,565.42,4523.34,494.84,10.94,7.69,1352.18,3,4,5,345,Loyal Customers,High Vol / High Profit,3
AS-10045,Aaron Smayling,Corporate,2023-07-27,2026-10-03,2023,88,1164,3.19,7,48,435.81,3050.69,-253.57,-8.31,35.5,956.62,3,3,4,334,Need Attention,High Vol / Low Profit,5
AS-10090,Adam Shillingsburg,Consumer,2023-09-22,2026-12-02,2023,28,1167,3.2,9,81,361.7,3255.31,64.54,1.98,18.0,1018.16,4,4,4,444,Champions,High Vol / Low Profit,4
AS-10135,Adrian Shami,Home Office,2025-11-13,2026-11-19,2025,41,371,1.02,2,9,29.41,58.82,21.85,37.15,6.67,57.87,4,1,1,411,New Customers,Low Vol / Low Profit,10
AS-10225,Alan Schoenberger,Corporate,2023-10-18,2026-12-08,2023,22,1147,3.14,5,41,852.16,4260.78,719.78,16.89,6.15,1355.87,5,2,4,524,Potential Loyalists,High Vol / High Profit,3
AS-10240,Alan Shonely,Consumer,2023-03-15,2026-06-21,2023,192,1194,3.27,7,39,83.52,584.61,33.72,5.77,26.92,178.71,2,3,1,231,Need Attention,Low Vol / Low Profit,10
AS-10285,Alejandro Savely,Corporate,2025-05-21,2026-12-11,2025,19,569,1.56,6,39,535.71,3214.24,354.63,11.03,22.5,2061.86,5,3,4,534,Potential Loyalists,High Vol / High Profit,2
AS-10630,Ann Steele,Home Office,2023-08-01,2026-09-29,2023,92,1155,3.16,7,34,119.06,833.4,136.49,16.38,18.33,263.37,3,3,1,331,Need Attention,Low Vol / Low Profit,9
AT-10435,Alyssa Tate,Home Office,2023-11-24,2026-12-09,2023,21,1111,3.04,6,28,195.3,1171.81,100.88,8.61,20.0,384.98,5,3,2,532,Need Attention,Low Vol / Low Profit,8
AT-10735,Annie Thurman,Consumer,2023-08-30,2026-12-17,2023,13,1205,3.3,10,60,383.19,3831.86,974.11,25.42,8.75,1160.69,5,5,4,554,Champions,High Vol / High Profit,4
AW-10840,Anthony Witt,Consumer,2024-04-13,2026-12-10,2024,20,971,2.66,4,24,162.34,649.38,65.77,10.13,20.0,244.1,5,1,1,511,New Customers,Low Vol / Low Profit,9
AW-10930,Arthur Wiediger,Home Office,2023-07-14,2026-11-14,2023,46,1219,3.34,7,68,407.57,2852.97,-104.55,-3.66,30.63,854.25,4,3,4,434,Potential Loyalists,High Vol / Low Profit,5
AY-10555,Andy Yotov,Corporate,2023-04-06,2026-12-16,2023,14,1350,3.7,4,34,124.25,497.01,103.35,20.79,10.0,134.38,5,1,1,511,New Customers,Low Vol / Low Profit,10
AZ-10750,Annie Zypern,Consumer,2023-03-17,2026-07-23,2023,160,1224,3.35,6,40,270.34,1622.02,154.95,9.55,12.5,483.69,2,3,2,232,Need Attention,Low Vol / Low Profit,8
BB-10990,Barry Blumstein,Corporate,2023-07-27,2026-09-16,2023,105,1147,3.14,5,26,148.87,744.34,11.58,1.56,20.0,236.86,2,2,1,221,Lost / Hibernating,Low Vol / Low Profit,9
BB-11545,Brenda Bowman,Corporate,2024-06-05,2026-12-02,2024,28,910,2.49,9,83,751.75,6765.73,1015.08,15.0,19.5,2713.73,4,4,5,445,Champions,High Vol / High Profit,1
BC-11125,Becky Castell,Home Office,2023-07-06,2026-06-11,2023,202,1071,2.93,9,60,325.96,2933.68,251.6,8.58,11.11,999.81,2,4,4,244,Cant Lose Them,High Vol / High Profit,5
BD-11320,Bill Donatelli,Consumer,2024-05-31,2026-11-27,2024,33,910,2.49,12,75,476.54,5718.52,1094.5,19.14,7.89,2293.69,4,5,5,455,Champions,High Vol / High Profit,1
BD-11500,Bradley Drucker,Consumer,2023-02-01,2026-11-25,2023,35,1393,3.82,6,49,735.21,4411.24,1142.12,25.89,13.5,1155.85,4,3,5,435,Potential Loyalists,High Vol / High Profit,4
BD-11560,Brendan Dodson,Home Office,2024-05-30,2026-03-27,2024,278,666,1.82,2,11,160.27,320.54,116.71,36.41,0.0,175.67,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,10
BD-11605,Brian Dahlen,Consumer,2023-01-13,2026-09-24,2023,97,1350,3.7,9,84,370.32,3332.87,655.71,19.67,6.59,901.11,3,4,4,344,Loyal Customers,High Vol / High Profit,5
BD-11620,Brian DeCherney,Consumer,2023-06-30,2026-10-22,2023,69,1210,3.32,6,27,256.35,1538.11,206.76,13.44,17.5,463.98,3,3,2,332,Need Attention,Low Vol / Low Profit,8
BD-11635,Brian Derr,Consumer,2023-10-05,2026-12-21,2023,9,1173,3.21,3,19,194.22,582.65,141.53,24.29,10.0,181.3,5,1,1,511,New Customers,Low Vol / Low Profit,10
BD-11725,Bruce Degenhardt,Consumer,2024-07-03,2026-09-28,2024,93,817,2.24,6,29,254.42,1526.5,333.98,21.88,2.0,681.97,3,3,2,332,Need Attention,Low Vol / High Profit,6
BD-11770,Bryan Davis,Consumer,2025-03-10,2026-02-06,2025,327,333,0.91,6,21,109.74,658.47,141.26,21.45,12.0,721.74,1,3,1,131,Need Attention,Low Vol / Low Profit,6
BE-11335,Bill Eplett,Home Office,2025-01-15,2026-09-02,2025,119,595,1.63,5,35,840.94,4204.68,1487.77,35.38,2.22,2579.34,2,2,4,224,Need Attention,High Vol / High Profit,1
BE-11410,Bobby Elias,Consumer,2025-02-07,2026-09-23,2025,98,593,1.62,5,19,452.29,2261.44,755.92,33.43,16.0,1391.95,3,2,3,323,Need Attention,High Vol / High Profit,3
BE-11455,Brad Eason,Home Office,2024-08-02,2026-04-20,2024,254,626,1.72,6,40,287.94,1727.65,139.2,8.06,14.62,1007.34,1,3,2,132,Need Attention,Low Vol / Low Profit,5
BF-10975,Barbara Fisher,Corporate,2023-07-14,2026-09-30,2023,91,1174,3.22,7,38,85.69,599.8,227.44,37.92,14.62,186.48,3,3,1,331,Need Attention,Low Vol / High Profit,10
BF-11005,Barry Franz,Home Office,2023-09-25,2026-11-21,2023,39,1153,3.16,4,26,333.47,1333.88,-291.38,-21.84,18.0,422.26,4,1,2,412,New Customers,Low Vol / Low Profit,8
BF-11020,Barry Französisch,Corporate,2023-02-15,2026-10-17,2023,74,1340,3.67,8,78,361.06,2888.51,302.02,10.46,25.71,786.79,3,4,4,344,Loyal Customers,High Vol / High Profit,6
BF-11080,Bart Folk,Consumer,2023-11-28,2026-12-05,2023,25,1103,3.02,3,29,90.98,272.95,110.93,40.64,0.0,90.32,5,1,1,511,New Customers,Low Vol / Low Profit,10
BF-11170,Ben Ferrer,Home Office,2023-04-13,2026-12-14,2023,16,1341,3.67,13,146,648.47,8430.14,1980.33,23.49,11.08,2294.56,5,5,5,555,Champions,High Vol / High Profit,1
BF-11215,Benjamin Farhat,Home Office,2023-11-09,2026-10-26,2023,65,1082,2.96,4,48,396.29,1585.16,523.21,33.01,5.0,534.74,3,1,2,312,Need Attention,Low Vol / High Profit,7
BF-11275,Beth Fritzler,Corporate,2023-03-22,2026-11-03,2023,57,1322,3.62,3,11,264.0,791.99,25.87,3.27,15.0,218.67,3,1,1,311,Need Attention,Low Vol / Low Profit,9
BG-11035,Barry Gonzalez,Consumer,2023-11-05,2026-12-02,2023,28,1123,3.08,8,35,349.87,2798.95,-711.43,-25.42,19.17,909.72,4,4,4,444,Champions,High Vol / Low Profit,5
BG-11695,Brooke Gillingham,Corporate,2023-05-11,2026-11-24,2023,36,1293,3.54,6,24,312.36,1874.17,107.57,5.74,13.75,529.06,4,3,3,433,Potential Loyalists,Low Vol / Low Profit,7
BG-11740,Bruce Geld,Consumer,2023-03-23,2026-11-03,2023,57,1321,3.62,6,22,167.73,1006.36,119.35,11.86,14.29,278.06,3,3,2,332,Need Attention,Low Vol / Low Profit,9
BG-18435,Bruce Galang,Consumer,2023-12-29,2026-12-29,2023,1,1096,3.0,5,45,121.98,609.88,208.66,34.21,0.0,203.11,5,2,1,521,New Customers,Low Vol / Low Profit,10
BH-11710,Brosina Hoffman,Consumer,2023-06-09,2026-12-07,2023,23,1277,3.5,8,97,781.92,6255.35,802.79,12.83,18.33,1787.94,5,4,5,545,Champions,High Vol / High Profit,2
BK-11260,Berenike Kampe,Consumer,2023-08-03,2026-10-14,2023,77,1168,3.2,6,58,109.86,659.14,-63.76,-9.67,20.62,205.98,3,3,1,331,Need Attention,Low Vol / Low Profit,10
BM-11140,Becky Martin,Consumer,2023-09-08,2026-02-26,2023,307,902,2.47,4,64,2947.41,11789.63,-1659.96,-14.08,16.88,4770.75,1,1,5,115,Need Attention,High Vol / Low Profit,1
BM-11575,Brendan Murry,Corporate,2024-09-15,2026-09-21,2024,100,736,2.02,6,22,134.69,808.16,95.58,11.83,18.0,400.79,3,3,1,331,Need Attention,Low Vol / Low Profit,8
BM-11650,Brian Moss,Corporate,2023-07-09,2026-11-27,2023,33,1237,3.39,11,95,663.11,7294.18,2199.28,30.15,8.45,2152.29,4,5,5,455,Champions,High Vol / High Profit,2
BM-11785,Bryan Mills,Consumer,2023-06-06,2026-05-26,2023,218,1085,2.97,10,44,133.88,1338.84,137.74,10.29,25.0,450.39,2,5,2,252,Need Attention,Low Vol / Low Profit,8
BN-11470,Brad Norvell,Corporate,2023-09-12,2026-12-06,2023,24,1181,3.24,4,15,66.32,265.3,36.61,13.8,16.67,81.99,5,1,1,511,New Customers,Low Vol / Low Profit,10
BN-11515,Bradley Nguyen,Consumer,2023-03-17,2026-12-21,2023,9,1375,3.77,5,79,291.87,1459.34,340.71,23.35,2.35,387.39,5,2,2,522,New Customers,Low Vol / High Profit,8
BO-11350,Bill Overfelt,Corporate,2025-01-03,2026-08-15,2025,137,589,1.61,5,43,536.55,2682.73,278.78,10.39,23.33,1662.47,2,2,3,223,Need Attention,High Vol / High Profit,2
BO-11425,Bobby Odegard,Consumer,2024-09-10,2026-10-16,2024,75,766,2.1,2,7,65.42,130.83,59.45,45.44,0.0,62.34,3,1,1,311,Need Attention,Low Vol / Low Profit,10
BP-11050,Barry Pond,Corporate,2023-10-12,2026-10-08,2023,83,1092,2.99,5,30,196.68,983.42,209.78,21.33,14.29,328.71,3,2,2,322,Need Attention,Low Vol / Low Profit,9
BP-11095,Bart Pistole,Corporate,2023-06-07,2026-12-13,2023,17,1285,3.52,14,85,239.35,3350.87,702.96,20.98,13.75,951.8,5,5,4,554,Champions,High Vol / High Profit,5
BP-11155,Becky Pak,Consumer,2024-06-04,2026-10-02,2024,89,850,2.33,6,32,282.98,1697.86,647.38,38.13,8.18,729.08,3,3,2,332,Need Attention,Low Vol / High Profit,6
BP-11185,Ben Peterman,Corporate,2024-03-24,2026-12-29,2024,1,1010,2.77,9,69,408.43,3675.86,363.6,9.89,19.44,1328.41,5,5,4,554,Champions,High Vol / High Profit,3
BP-11230,Benjamin Patterson,Consumer,2023-04-20,2026-11-21,2023,39,1311,3.59,5,14,236.3,1181.49,-197.27,-16.7,6.67,328.94,4,2,2,422,New Customers,Low Vol / Low Profit,9
BP-11290,Beth Paige,Consumer,2023-10-03,2026-12-18,2023,12,1172,3.21,7,51,353.59,2475.16,-319.06,-12.89,30.0,770.85,5,3,3,533,Potential Loyalists,High Vol / Low Profit,6
BS-11365,Bill Shonely,Corporate,2023-05-04,2025-06-20,2023,558,778,2.13,5,39,2100.33,10501.65,2616.06,24.91,1.11,4926.87,1,2,5,125,Need Attention,High Vol / High Profit,1
BS-11380,Bill Stewart,Corporate,2023-11-29,2026-12-02,2023,28,1099,3.01,5,58,777.57,3887.83,-17.53,-0.45,27.69,1291.23,4,2,4,424,Potential Loyalists,High Vol / Low Profit,3
BS-11590,Brendan Sweed,Corporate,2023-01-14,2026-11-25,2023,35,1411,3.87,6,41,409.15,2454.93,381.78,15.55,30.0,635.05,4,3,3,433,Potential Loyalists,High Vol / High Profit,7
BS-11665,Brian Stugart,Consumer,2023-06-23,2025-05-27,2023,582,704,1.93,3,47,1096.04,3288.11,238.74,7.26,18.18,1704.77,1,1,4,114,Need Attention,High Vol / High Profit,2
BS-11755,Bruce Stewart,Consumer,2023-05-18,2026-12-29,2023,1,1321,3.62,7,45,366.05,2562.38,-113.3,-4.42,13.21,708.0,5,3,3,533,Potential Loyalists,High Vol / Low Profit,6
BS-11800,Bryan Spruell,Home Office,2024-09-26,2026-04-09,2024,265,560,1.53,2,22,474.72,949.43,194.05,20.44,0.0,618.82,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,7
BT-11305,Beth Thompson,Home Office,2023-04-25,2026-01-28,2023,336,1009,2.76,5,33,513.53,2567.66,417.59,16.26,4.44,928.83,1,2,3,123,Need Attention,High Vol / High Profit,5
BT-11395,Bill Tyler,Corporate,2023-10-28,2026-03-03,2023,302,857,2.35,6,38,364.44,2186.61,257.92,11.8,15.0,931.29,1,3,3,133,At Risk,Low Vol / High Profit,5
BT-11440,Bobby Trafton,Consumer,2023-06-04,2025-06-18,2023,560,745,2.04,4,16,150.97,603.88,-77.53,-12.84,15.71,295.86,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,9
BT-11485,Brad Thomas,Home Office,2024-12-27,2025-03-11,2024,659,74,0.2,2,11,207.6,415.2,126.87,30.56,6.67,2047.93,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,2
BT-11530,Bradley Talbott,Home Office,2023-05-21,2026-09-30,2023,91,1228,3.36,5,44,536.9,2684.49,409.5,15.25,10.0,797.91,3,2,3,323,Need Attention,High Vol / High Profit,6
BT-11680,Brian Thompson,Consumer,2023-11-28,2026-12-10,2023,20,1108,3.04,7,88,456.68,3196.75,447.75,14.01,7.0,1053.08,5,3,4,534,Potential Loyalists,High Vol / High Profit,4
BV-11245,Benjamin Venier,Corporate,2024-03-26,2026-01-30,2024,334,675,1.85,5,49,304.65,1523.27,315.22,20.69,9.29,823.7,1,2,2,122,Lost / Hibernating,Low Vol / High Profit,6
BW-11065,Barry Weirich,Consumer,2023-05-25,2026-06-01,2023,212,1103,3.02,3,8,128.51,385.52,-58.29,-15.12,13.33,127.57,2,1,1,211,Lost / Hibernating,Low Vol / Low Profit,10
BW-11110,Bart Watters,Corporate,2024-03-20,2026-08-31,2024,121,894,2.45,8,74,593.79,4750.36,921.26,19.39,14.12,1939.46,2,4,5,245,Cant Lose Them,High Vol / High Profit,2
BW-11200,Ben Wallace,Consumer,2023-08-12,2026-06-10,2023,203,1033,2.83,6,49,289.73,1738.41,247.0,14.21,15.0,614.25,2,3,3,233,At Risk,Low Vol / High Profit,7
CA-11965,Carol Adams,Corporate,2023-01-26,2026-09-25,2023,96,1338,3.67,6,29,631.62,3789.72,1143.38,30.17,11.2,1033.82,3,3,4,334,Need Attention,High Vol / High Profit,4
CA-12055,Cathy Armstrong,Home Office,2024-09-05,2025-11-24,2024,401,445,1.22,5,49,335.94,1679.72,211.26,12.58,30.0,1377.75,1,2,2,122,Lost / Hibernating,Low Vol / Low Profit,3
CA-12265,Christina Anderson,Consumer,2023-03-25,2026-11-04,2023,56,1320,3.62,9,65,294.25,2648.29,279.62,10.56,18.94,732.29,3,5,3,353,Loyal Customers,High Vol / High Profit,6
CA-12310,Christine Abelman,Corporate,2023-07-19,2026-12-17,2023,13,1247,3.42,4,25,355.49,1421.95,246.02,17.3,11.82,416.21,5,1,2,512,New Customers,Low Vol / High Profit,8
CA-12775,Cynthia Arntzen,Consumer,2023-06-28,2026-09-01,2023,120,1161,3.18,7,72,434.51,3041.57,204.49,6.72,18.82,956.22,2,3,4,234,At Risk,High Vol / Low Profit,5
CB-12025,Cassandra Brandow,Consumer,2023-03-21,2026-11-13,2023,47,1333,3.65,10,122,607.61,6076.14,150.21,2.47,16.35,1663.76,4,5,5,455,Champions,High Vol / Low Profit,2
CB-12415,Christy Brittain,Consumer,2024-11-05,2026-12-04,2024,26,759,2.08,8,44,243.65,1949.2,272.39,13.97,33.33,937.36,5,4,3,543,Loyal Customers,Low Vol / High Profit,5
CB-12535,Claudia Bergmann,Corporate,2024-01-02,2026-06-16,2024,197,896,2.45,8,74,530.81,4246.46,1049.56,24.72,5.0,1729.86,2,4,4,244,Cant Lose Them,High Vol / High Profit,2
CC-12100,Chad Cunningham,Home Office,2023-12-16,2025-09-29,2023,457,653,1.79,6,46,295.16,1770.94,208.59,11.78,21.54,989.89,1,3,3,133,At Risk,Low Vol / Low Profit,5
CC-12145,Charles Crestani,Consumer,2023-07-20,2026-09-15,2023,106,1153,3.16,7,31,353.09,2471.65,392.28,15.87,8.18,782.44,2,3,3,233,At Risk,High Vol / High Profit,6
CC-12220,Chris Cortes,Consumer,2023-09-09,2026-12-10,2023,20,1188,3.25,12,81,326.12,3913.42,393.96,10.07,11.82,1202.35,5,5,4,554,Champions,High Vol / High Profit,4
CC-12370,Christopher Conant,Consumer,2025-05-23,2026-11-17,2025,43,543,1.49,5,34,2425.81,12129.07,2177.05,17.95,28.18,8153.06,4,2,5,425,Potential Loyalists,High Vol / High Profit,1
